iso2c,country,year,SP.POP.0004.FE.5Y,SP.POP.0004.MA.5Y,SP.POP.0509.FE.5Y,SP.POP.0509.MA.5Y,SP.POP.1014.FE.5Y,SP.POP.1014.MA.5Y,SP.POP.1519.FE.5Y,SP.POP.1519.MA.5Y,SP.POP.2024.FE.5Y,SP.POP.2024.MA.5Y,SP.POP.2529.FE.5Y,SP.POP.2529.MA.5Y,SP.POP.3034.FE.5Y,SP.POP.3034.MA.5Y,SP.POP.3539.FE.5Y,SP.POP.3539.MA.5Y,SP.POP.4044.FE.5Y,SP.POP.4044.MA.5Y,SP.POP.4549.FE.5Y,SP.POP.4549.MA.5Y,SP.POP.5054.FE.5Y,SP.POP.5054.MA.5Y,SP.POP.5559.FE.5Y,SP.POP.5559.MA.5Y,SP.POP.6064.FE.5Y,SP.POP.6064.MA.5Y,SP.POP.6569.FE.5Y,SP.POP.6569.MA.5Y,SP.POP.7074.FE.5Y,SP.POP.7074.MA.5Y,SP.POP.7579.FE.5Y,SP.POP.7579.MA.5Y,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y
JP,Japan,1960,8.190922734,8.865279566,9.685488463,10.46738005,11.26677009,12.08733601,9.707141157,10.26221444,8.845292854,9.299061684,8.657816975,9.012302628,7.956397078,8.051292616,6.857777748,5.906396814,5.772062995,4.916143113,5.382741282,4.88523164,4.531016071,4.408809343,3.800973999,3.834191664,3.075128333,3.053740398,2.366583377,2.199884955,1.805381444,1.474190785,1.192390908,0.799395468,0.906114493,0.477148835
JP,Japan,1961,8.075815216,8.734819691,9.174561915,9.924012121,11.06110098,11.88235558,9.93449525,10.51394214,8.841634436,9.295343225,8.614167629,8.979908827,8.043007543,8.255746193,7.007108197,6.20724762,5.854871995,4.939185313,5.399786338,4.819963154,4.624744646,4.425491307,3.862780618,3.854999473,3.134930155,3.099969483,2.402355987,2.238886661,1.809562249,1.494304051,1.202434941,0.823682361,0.956641907,0.510142799
JP,Japan,1962,8.007850548,8.661597326,8.719117925,9.435060903,10.67934097,11.48744732,10.22949031,10.8470708,8.858964087,9.305781076,8.54179418,8.918748156,8.115127422,8.386629766,7.150118342,6.569846827,5.981052952,5.004285741,5.383163258,4.73017369,4.735515961,4.455238052,3.923885412,3.871821013,3.199120741,3.148438792,2.453185826,2.287328055,1.816097861,1.511738473,1.215402249,0.847939721,0.990771952,0.53085428
JP,Japan,1963,7.965222825,8.618653287,8.336430545,9.018724507,10.17470726,10.96060762,10.5161511,11.17913523,8.911410618,9.348745748,8.460735154,8.848821115,8.167660941,8.456322467,7.283765414,6.953614804,6.136847652,5.119315745,5.3572718,4.638578614,4.848124929,4.485240882,3.988729895,3.88896776,3.26711464,3.19829356,2.515273732,2.343119831,1.83046745,1.532403611,1.231730622,0.870546493,1.008355422,0.53890873
JP,Japan,1964,7.953686156,8.608955693,8.020627752,8.670639633,9.639160975,10.39977385,10.67938904,11.3817186,9.017242042,9.451167093,8.397464965,8.792586879,8.191207671,8.484922345,7.40372064,7.297857478,6.298731269,5.293080388,5.357261175,4.576942543,4.938693164,4.494946231,4.063428466,3.911542864,3.337555695,3.247248818,2.583302827,2.402669693,1.858202661,1.561716212,1.249917582,0.889428225,1.010407923,0.534803456
JP,Japan,1965,7.97833949,8.63744631,7.75176415,8.372796336,9.143532649,9.878416295,10.65343469,11.38008712,9.180795013,9.624190063,8.368693964,8.763459693,8.182508193,8.487216092,7.50687575,7.565496928,6.451658986,5.526590745,5.403268852,4.564934537,4.994927445,4.474420061,4.150615979,3.941507292,3.409562318,3.29395606,2.654247159,2.464003789,1.901282907,1.601794039,1.269849502,0.905367589,0.998642957,0.518317054
JP,Japan,1966,8.13150155,8.81353976,7.551553014,8.155636236,8.675695825,9.374556802,10.43716093,11.16898466,9.387495621,9.858611968,8.359649586,8.748431506,8.136371378,8.450916413,7.580904502,7.744252559,6.585790351,5.80010569,5.47739437,4.582506498,5.008073192,4.410269074,4.235184956,3.954890577,3.46384549,3.311326408,2.706446943,2.503438784,1.932961351,1.635646835,1.280891111,0.928004186,1.049079826,0.558882044
JP,Japan,1967,8.179921852,8.865512585,7.456082766,8.057260485,8.261676511,8.926572439,10.0568413,10.78044458,9.6605368,10.1756723,8.376065022,8.753671894,8.06913522,8.396939278,7.647615608,7.863391068,6.717931925,6.134236582,5.595396207,4.642931363,4.994052306,4.328905804,4.33909453,3.98466751,3.521159021,3.329472862,2.76616944,2.547464073,1.978686721,1.67660946,1.291777164,0.945570816,1.087857608,0.590676904
JP,Japan,1968,8.17439626,8.853077542,7.452936073,8.062397093,7.90232862,8.536541394,9.565594216,10.26994483,9.920620369,10.485489,8.425414034,8.791193916,7.993466223,8.334855594,7.697359239,7.929380989,6.840756864,6.486124754,5.740590148,4.749306416,4.971964133,4.247451338,4.445040067,4.01558204,3.583165094,3.349593132,2.830740934,2.593498977,2.035609109,1.723472799,1.307326581,0.961618238,1.112692033,0.610471943
JP,Japan,1969,8.185163369,8.857881801,7.501956985,8.124048397,7.600993909,8.210470897,9.052156958,9.731404947,10.05456317,10.65892671,8.519179401,8.880809499,7.930057237,8.279179481,7.716906217,7.955262263,6.947094194,6.796159566,5.887941428,4.906358794,4.971521765,4.191966776,4.528489112,4.02626695,3.653453095,3.373905013,2.897335297,2.638201,2.09887379,1.773062259,1.332246736,0.980243905,1.122067338,0.61585174
